,GM,IM,FM,CM,WGM,WIM,WFM,WCM,LM,Untitled Expert,A,B,C,D,E,N,BOT
Queen's Pawn Game,36.0,76.0,208.0,102.0,4.0,9.0,8.0,2.0,1.0,32901.0,36272.0,42267.0,39200.0,30653.0,20087.0,12718.0,105.0
French Defense,18.0,77.0,188.0,111.0,3.0,4.0,18.0,5.0,5.0,27751.0,29224.0,29584.0,25595.0,17678.0,10647.0,5737.0,94.0
Ruy Lopez,5.0,16.0,55.0,21.0,,3.0,5.0,,1.0,5347.0,6224.0,8524.0,9281.0,7835.0,5127.0,2077.0,161.0
Sicilian Defense,106.0,247.0,537.0,187.0,16.0,11.0,47.0,26.0,7.0,56451.0,52534.0,50815.0,36853.0,21646.0,10776.0,4160.0,228.0
Englund Gambit,2.0,8.0,16.0,8.0,,,3.0,,1.0,3523.0,5086.0,6567.0,6566.0,4956.0,3064.0,1938.0,4.0
Zukertort Opening,35.0,160.0,222.0,63.0,4.0,,1.0,3.0,7.0,15625.0,10469.0,10302.0,9236.0,6916.0,4758.0,3306.0,60.0
Queen's Gambit,,,1.0,,,,,,,138.0,253.0,335.0,317.0,213.0,93.0,63.0,2.0
Caro-Kann Defense,45.0,81.0,227.0,84.0,6.0,4.0,4.0,10.0,3.0,26108.0,24852.0,25975.0,21885.0,15126.0,8631.0,3658.0,51.0
Scotch Game,3.0,13.0,20.0,14.0,,,2.0,1.0,,4256.0,6774.0,9833.0,10415.0,8156.0,5398.0,2410.0,15.0
Bishop's Opening,,1.0,3.0,5.0,,,2.0,,,2140.0,4705.0,8357.0,10099.0,8819.0,5903.0,4553.0,7.0
King's Pawn Game,,4.0,7.0,5.0,,,1.0,1.0,,2922.0,6354.0,11643.0,16066.0,16677.0,15174.0,14141.0,8.0
Philidor Defense,9.0,12.0,24.0,6.0,,5.0,,,,3046.0,6763.0,11073.0,12029.0,10328.0,6316.0,3417.0,11.0
Scandinavian Defense,16.0,38.0,94.0,34.0,1.0,5.0,,,,17430.0,23299.0,27075.0,23667.0,18644.0,12657.0,7965.0,24.0
Nimzo-Larsen Attack,10.0,21.0,144.0,85.0,,1.0,,,,11284.0,7645.0,8022.0,6074.0,3700.0,1825.0,1036.0,38.0
Elephant Gambit,1.0,6.0,12.0,4.0,,,,,,1109.0,1301.0,1598.0,1340.0,1114.0,842.0,578.0,4.0
Nimzowitsch Defense,2.0,10.0,24.0,1.0,,,1.0,,3.0,3850.0,4152.0,4842.0,4928.0,4417.0,3458.0,2483.0,59.0
King's Gambit Accepted,1.0,1.0,5.0,1.0,,,2.0,,,1602.0,3301.0,4250.0,3563.0,2278.0,1156.0,493.0,7.0
Italian Game,5.0,23.0,59.0,34.0,,1.0,2.0,,1.0,8489.0,13914.0,19991.0,23034.0,19955.0,13596.0,6454.0,81.0
Horwitz Defense,4.0,7.0,29.0,13.0,1.0,,6.0,1.0,1.0,5436.0,5625.0,6462.0,5789.0,4000.0,2234.0,1398.0,17.0
Hungarian Opening,18.0,33.0,97.0,16.0,5.0,8.0,2.0,23.0,1.0,8359.0,7379.0,8080.0,6381.0,4258.0,2599.0,1373.0,23.0
Queen's Gambit Declined,8.0,37.0,75.0,43.0,3.0,4.0,3.0,4.0,,13285.0,14471.0,15004.0,11330.0,7225.0,3637.0,1285.0,120.0
Benoni Defense,16.0,50.0,98.0,40.0,7.0,1.0,2.0,1.0,1.0,10163.0,6548.0,5418.0,3911.0,2140.0,1035.0,379.0,12.0
Van't Kruijs Opening,1.0,10.0,20.0,9.0,,5.0,,1.0,7.0,6108.0,6347.0,7779.0,7633.0,6159.0,4541.0,3555.0,38.0
Modern Defense,19.0,63.0,109.0,25.0,2.0,5.0,1.0,1.0,,10092.0,10500.0,11937.0,9662.0,6347.0,3146.0,1546.0,14.0
Slav Defense,8.0,17.0,68.0,22.0,,7.0,5.0,2.0,1.0,7045.0,5951.0,5044.0,3315.0,1949.0,961.0,322.0,26.0
English Opening,16.0,83.0,274.0,61.0,5.0,6.0,11.0,10.0,11.0,19287.0,14802.0,14425.0,10765.0,6314.0,3473.0,1794.0,116.0
Semi-Slav Defense,1.0,8.0,18.0,9.0,,,4.0,1.0,,3607.0,2751.0,1955.0,1110.0,555.0,215.0,59.0,38.0
Owen Defense,2.0,7.0,16.0,4.0,,,,,,3749.0,5253.0,6904.0,6193.0,3954.0,2279.0,925.0,6.0
Mieses Opening,3.0,11.0,13.0,4.0,,2.0,,,,3923.0,3077.0,3344.0,2791.0,1906.0,1278.0,867.0,3.0
Old Indian Defense,3.0,4.0,10.0,4.0,,1.0,,,,1738.0,1506.0,1339.0,1033.0,663.0,327.0,133.0,
Ponziani Opening,,,2.0,1.0,,,,,,649.0,1284.0,2051.0,2204.0,1889.0,1342.0,675.0,4.0
Vienna Game,7.0,4.0,20.0,6.0,,,,,,3018.0,4250.0,6030.0,6446.0,4810.0,3400.0,2315.0,11.0
Three Knights Opening,1.0,4.0,5.0,2.0,,,1.0,,,1120.0,1680.0,2608.0,3278.0,3082.0,2454.0,1647.0,1.0
Four Knights Game,3.0,11.0,25.0,14.0,,,3.0,,,2490.0,3265.0,4919.0,6145.0,6391.0,5639.0,4108.0,26.0
Bird Opening,,30.0,24.0,11.0,,,,,,4812.0,5430.0,4963.0,3086.0,1681.0,1059.0,781.0,10.0
Dutch Defense,1.0,12.0,28.0,3.0,,1.0,6.0,,,3358.0,2784.0,2346.0,1545.0,911.0,553.0,253.0,10.0
English Defense,,5.0,10.0,2.0,,,1.0,,,2492.0,2881.0,3118.0,2493.0,1478.0,760.0,344.0,1.0
Grünfeld Defense,4.0,8.0,26.0,11.0,2.0,,,,,1671.0,994.0,589.0,272.0,117.0,49.0,6.0,8.0
Blackmar-Diemer Gambit,,,3.0,5.0,,,,,,887.0,1162.0,1345.0,1101.0,978.0,686.0,576.0,
Rat Defense,1.0,7.0,7.0,3.0,,1.0,2.0,,,1828.0,2106.0,2333.0,1866.0,1237.0,709.0,362.0,6.0
Grob Opening,,2.0,4.0,,,,,,,1296.0,1447.0,1822.0,1451.0,989.0,643.0,520.0,
Center Game,,2.0,7.0,2.0,,,,,,1059.0,1708.0,2773.0,3506.0,3655.0,3029.0,1758.0,4.0
Catalan Opening,4.0,24.0,21.0,9.0,,,,,,1259.0,375.0,274.0,122.0,53.0,25.0,10.0,16.0
Indian Defense,14.0,67.0,172.0,55.0,4.0,3.0,9.0,3.0,3.0,13434.0,9856.0,8934.0,6532.0,3974.0,2223.0,1096.0,43.0
King's Indian Defense,22.0,78.0,130.0,38.0,3.0,,10.0,1.0,2.0,7030.0,4271.0,3427.0,2007.0,998.0,382.0,101.0,32.0
Pirc Defense,12.0,34.0,65.0,46.0,,10.0,4.0,2.0,1.0,9206.0,8188.0,8481.0,7828.0,5933.0,3899.0,2141.0,16.0
Torre Attack,4.0,9.0,8.0,2.0,,1.0,,,,916.0,402.0,301.0,197.0,106.0,50.0,17.0,3.0
Queen's Gambit Accepted,5.0,11.0,15.0,6.0,,1.0,1.0,,,1767.0,2767.0,4065.0,4289.0,3398.0,2106.0,915.0,39.0
Nimzo-Indian Defense,4.0,14.0,34.0,13.0,,,3.0,,1.0,2211.0,1494.0,1059.0,609.0,277.0,101.0,20.0,24.0
Rapport-Jobava System,1.0,13.0,14.0,7.0,,,,,,1771.0,1659.0,2279.0,2170.0,1837.0,1327.0,584.0,13.0
Canard Opening,,,,,,,,,,136.0,158.0,116.0,68.0,33.0,21.0,9.0,1.0
Petrov's Defense,3.0,6.0,16.0,8.0,,,,,,2642.0,3679.0,5832.0,6407.0,5917.0,4674.0,3893.0,31.0
King's Indian Attack,22.0,75.0,99.0,36.0,2.0,1.0,1.0,5.0,1.0,4306.0,1466.0,1293.0,852.0,560.0,387.0,216.0,10.0
Barnes Defense,,,3.0,,,,,,,214.0,207.0,188.0,221.0,154.0,152.0,144.0,
Alekhine Defense,6.0,51.0,60.0,13.0,3.0,1.0,,,,6463.0,4551.0,3815.0,2658.0,1864.0,1439.0,1437.0,24.0
King's Gambit,,,,,,,,,,230.0,802.0,1118.0,1085.0,711.0,327.0,148.0,
Saragossa Opening,1.0,1.0,6.0,7.0,,1.0,,,,1660.0,1519.0,1509.0,1103.0,828.0,569.0,365.0,26.0
King's Gambit Declined,,1.0,7.0,2.0,,1.0,,,,1357.0,2503.0,3080.0,2340.0,1374.0,642.0,339.0,1.0
King's Knight Opening,,2.0,,2.0,,,1.0,,,252.0,539.0,1234.0,1798.0,1882.0,1779.0,1621.0,4.0
Blackmar-Diemer Gambit Declined,,2.0,1.0,4.0,,,,,,303.0,259.0,250.0,210.0,165.0,94.0,63.0,
East Indian Defense,2.0,8.0,10.0,2.0,2.0,,,,,708.0,385.0,344.0,258.0,179.0,101.0,46.0,1.0
Latvian Gambit Accepted,,,,,,,,,,144.0,219.0,237.0,202.0,206.0,129.0,77.0,
Wade Defense,1.0,,1.0,1.0,,,,,,88.0,47.0,48.0,45.0,25.0,8.0,3.0,
Guatemala Defense,,,1.0,,,,,,,54.0,89.0,61.0,60.0,44.0,28.0,10.0,
Réti Opening,2.0,14.0,21.0,7.0,,,,,,777.0,555.0,427.0,294.0,216.0,87.0,33.0,5.0
Englund Gambit Declined,2.0,4.0,8.0,7.0,,1.0,,,,1663.0,2202.0,2720.0,2690.0,2132.0,1499.0,1039.0,4.0
Ware Defense,6.0,1.0,,,,,,,,121.0,159.0,245.0,344.0,325.0,234.0,221.0,5.0
Gunderam Defense,,,,1.0,,,,,,53.0,71.0,127.0,136.0,139.0,122.0,137.0,
Danish Gambit Accepted,,,1.0,,,,,,,405.0,906.0,1256.0,1157.0,885.0,370.0,138.0,
Carr Defense,,,,,,1.0,,,,65.0,159.0,230.0,233.0,205.0,111.0,78.0,1.0
Barnes Opening,,5.0,6.0,1.0,1.0,2.0,,,,768.0,503.0,439.0,408.0,299.0,258.0,214.0,
Pseudo Queen's Indian Defense,,2.0,1.0,,,,,,,174.0,92.0,44.0,31.0,18.0,10.0,5.0,2.0
St. George Defense,,7.0,2.0,1.0,,,,,,549.0,553.0,708.0,814.0,545.0,397.0,178.0,2.0
Van Geet Opening,1.0,9.0,24.0,15.0,,1.0,,1.0,,2330.0,1570.0,1388.0,1356.0,957.0,763.0,769.0,66.0
Kangaroo Defense,4.0,3.0,1.0,,,,,1.0,,62.0,51.0,69.0,93.0,63.0,27.0,17.0,3.0
Paleface Attack,,,,,,,,,,54.0,79.0,69.0,77.0,75.0,68.0,43.0,
Blackmar-Diemer Gambit Accepted,,1.0,2.0,,,1.0,,,,472.0,591.0,672.0,476.0,310.0,169.0,65.0,1.0
Lion Defense,1.0,,1.0,2.0,,,,1.0,,252.0,98.0,108.0,84.0,81.0,61.0,23.0,1.0
Richter-Veresov Attack,,4.0,14.0,2.0,,,,,,334.0,193.0,211.0,267.0,209.0,152.0,78.0,3.0
Mikenas Defense,,7.0,20.0,3.0,,,,,,925.0,628.0,512.0,582.0,575.0,592.0,763.0,5.0
Polish Opening,15.0,8.0,8.0,4.0,,,,,,2060.0,2348.0,2394.0,2045.0,1043.0,455.0,312.0,5.0
Trompowsky Attack,5.0,16.0,24.0,10.0,,,6.0,,,1594.0,847.0,647.0,454.0,231.0,113.0,51.0,2.0
Benko Gambit Declined,,,3.0,,,,,,,108.0,21.0,12.0,7.0,1.0,1.0,,1.0
Kádas Opening,3.0,3.0,1.0,1.0,,,,,,305.0,276.0,320.0,429.0,409.0,323.0,459.0,2.0
?,3.0,4.0,3.0,4.0,,2.0,,,,614.0,815.0,858.0,808.0,535.0,341.0,372.0,1.0
Borg Defense,,,,,,,,,,301.0,226.0,431.0,366.0,356.0,317.0,257.0,3.0
King's Pawn Opening,,,,,,,,,,45.0,114.0,181.0,207.0,180.0,171.0,131.0,
Danish Gambit,,,1.0,,,,,,,190.0,336.0,409.0,309.0,246.0,107.0,42.0,
Tarrasch Defense,,4.0,6.0,2.0,,,,,,625.0,450.0,397.0,328.0,189.0,81.0,29.0,7.0
Queen's Indian Defense,3.0,2.0,18.0,2.0,,,,,,860.0,250.0,156.0,75.0,32.0,14.0,4.0,25.0
Amar Opening,,,1.0,,,,,,,159.0,108.0,27.0,54.0,43.0,49.0,94.0,
Yusupov-Rubinstein System,2.0,,2.0,4.0,,,,,,376.0,220.0,178.0,163.0,87.0,42.0,23.0,3.0
Queen's Indian Accelerated,,6.0,2.0,,,,,1.0,,118.0,84.0,64.0,42.0,23.0,6.0,,
Slav Indian,,,1.0,1.0,,,,,,172.0,162.0,132.0,102.0,57.0,25.0,8.0,2.0
Duras Gambit,,,3.0,,,,,,,298.0,543.0,547.0,507.0,318.0,227.0,163.0,
Polish Defense,,1.0,1.0,,,,,,,206.0,157.0,189.0,170.0,101.0,76.0,55.0,
Anderssen's Opening,,1.0,1.0,,,,,,,488.0,307.0,325.0,302.0,238.0,119.0,97.0,3.0
Benko Gambit,,4.0,5.0,2.0,,,,,,382.0,244.0,142.0,60.0,11.0,9.0,2.0,
Latvian Gambit,,1.0,,10.0,,,,,,338.0,360.0,364.0,265.0,238.0,155.0,93.0,
Bogo-Indian Defense,6.0,2.0,6.0,2.0,,,,,,434.0,133.0,75.0,40.0,19.0,5.0,2.0,15.0
Lasker Simul Special,1.0,,10.0,,,,,,,237.0,54.0,39.0,51.0,15.0,14.0,7.0,
Ware Opening,6.0,1.0,12.0,,,,,,,236.0,185.0,232.0,317.0,267.0,287.0,352.0,12.0
Vienna Gambit,,2.0,1.0,1.0,,,,,,502.0,444.0,454.0,406.0,300.0,160.0,75.0,1.0
Pterodactyl Defense,1.0,10.0,7.0,2.0,,1.0,,1.0,,448.0,169.0,109.0,75.0,30.0,8.0,3.0,
Rubinstein Opening,,,1.0,1.0,,,1.0,,,136.0,58.0,48.0,23.0,6.0,,1.0,1.0
London System,3.0,9.0,10.0,7.0,,1.0,,,,712.0,435.0,430.0,283.0,169.0,114.0,47.0,1.0
Goldsmith Defense,,,2.0,1.0,,,,,,161.0,148.0,215.0,219.0,195.0,164.0,218.0,
Benko Gambit Accepted,,5.0,6.0,2.0,,,,,,472.0,107.0,32.0,9.0,2.0,2.0,,1.0
Neo-Grünfeld Defense,,6.0,12.0,4.0,2.0,,,1.0,,658.0,198.0,104.0,39.0,17.0,10.0,4.0,1.0
Czech Defense,4.0,1.0,10.0,5.0,,,,,,559.0,377.0,310.0,286.0,200.0,99.0,38.0,
Döry Defense,,,,,,,,,,6.0,14.0,9.0,12.0,7.0,9.0,9.0,
Mexican Defense,1.0,2.0,,4.0,,,,,,153.0,87.0,66.0,72.0,60.0,76.0,47.0,2.0
Irish Gambit,,,,,,,,,,2.0,4.0,5.0,5.0,20.0,25.0,32.0,
Portuguese Opening,,,,,,,,,,12.0,37.0,96.0,146.0,139.0,110.0,256.0,4.0
Clemenz Opening,1.0,4.0,,,,,,,,237.0,157.0,212.0,290.0,252.0,215.0,180.0,4.0
Robatsch Defense,,,,,,,,,,12.0,18.0,31.0,17.0,14.0,4.0,1.0,
Australian Defense,,,,,,,,,,11.0,8.0,2.0,9.0,7.0,8.0,15.0,
Danish Gambit Declined,,,2.0,1.0,,,,,,178.0,149.0,110.0,65.0,40.0,21.0,8.0,
Hippopotamus Defense,,,,,,,,,,24.0,16.0,14.0,34.0,16.0,25.0,43.0,1.0
Global Opening,,,,,,,,,,2.0,7.0,16.0,38.0,36.0,16.0,20.0,
Amazon Attack,,,,,,,,,,30.0,33.0,71.0,84.0,121.0,109.0,181.0,3.0
Center Game Accepted,,,,,,,,,,15.0,18.0,60.0,65.0,61.0,39.0,47.0,
Creepy Crawly Formation,,,,1.0,,,,,,5.0,12.0,44.0,58.0,39.0,17.0,12.0,
Sodium Attack,,,,,,,,,,23.0,18.0,32.0,25.0,22.0,19.0,34.0,1.0
English Orangutan,,,,,,,,,,11.0,12.0,6.0,6.0,3.0,3.0,,
Semi-Slav Defense Accepted,,,2.0,,,,,,,65.0,27.0,8.0,10.0,2.0,,2.0,
Bongcloud Attack,,,,,,,,,,1.0,4.0,5.0,11.0,7.0,16.0,19.0,
Montevideo Defense,,,1.0,,,,,,,13.0,11.0,14.0,14.0,16.0,7.0,8.0,
Valencia Opening,,,,,,,,,,73.0,43.0,51.0,51.0,18.0,9.0,4.0,
Lemming Defense,,,,,,,,,,16.0,11.0,2.0,8.0,10.0,16.0,33.0,2.0
Colle System,,,,,,,,,,3.0,2.0,2.0,1.0,1.0,,,
Fried Fox Defense,,,,,,,,,,58.0,4.0,8.0,5.0,1.0,3.0,1.0,
Zaire Defense,,,,,,,,,,,1.0,1.0,1.0,1.0,,1.0,
Zukertort Defense,,,,,,,,,,,,2.0,3.0,3.0,3.0,4.0,
Vulture Defense,,,1.0,,,,,,,20.0,10.0,1.0,2.0,,,,
Blumenfeld Countergambit,,,,,,,,,,21.0,1.0,1.0,2.0,,,,1.0
Dresden Opening,,,,,,,,,,,,,1.0,,,1.0,
Queen's Pawn,,,,,,,,,,1.0,2.0,1.0,,,1.0,,
Amsterdam Attack,,,,,,,,,,,1.0,2.0,,,1.0,,
Formation,,,,,,,,,,1.0,,1.0,,,,,
Marienbad System,,,,,,,,,,3.0,,1.0,,,,,
Blumenfeld Countergambit Accepted,,,,,,,,,,4.0,2.0,1.0,,,,,1.0
